"","g05_01","g05_02","g05_03","g05_04","g05_05","g05_06","g05_07","g05_08","g05_09","g05_10","g05_11","g05_12","g05_13","g05_14","g05_15","g05_16","g05_17","g05_18","g05_19","g05_20","g05_21","g05_22","g05_23","g05_24","g05_25","g05_26","g05_27","g05_28","g05_29","g05_30","g05_31","g05_32","g05_33","g05_34","g05_35","g05_36","g05_37","g05_38","g05_39","g05_40","g05_41","g05_42","g05_43","g05_44","g05_45","g05_46","g05_47","g05_48","g05_49","g05_50","g05_51","g05_52","g05_53","g05_54","g05_55","g05_56","g05_57","g05_58","g05_59","g05_60","g05_61","g05_62","g05_63","g05_64","g05_65","g05_66","g05_67","g05_68","g05_69","g05_70","g05_71","g05_72","g05_73","g05_74","g05_75","g05_76","g05_77","g05_78","g05_79","g05_80","g05_81","g05_82","g05_83","g05_84","g05_85"
"911419","tiger","deer","mous","eleph","tiger","lion","giraff","rabbit","squirrel","dog","","","","","","","","","","","cat","chinchilla","cow","bull","","","","","","","","","","","","","","","","","antelop","moos","caribou","wolverin","","","","","","","","","","","","","","","","","bear","llama","","","","","","","","","","","","","","","","","","","","","","",""
"928547","bear","dog","cat","eleph","zebra","lion","zebra","","","","","","","","","","","","","","sheep","goat","","","","","","","","","","","","","","","","","","","kangaroo","camel","hors","cow","bull","","","","","","","","","","","","","","","","chicken","","","","","","","","","","","","","","","","","","","","","","","",""
"916748","cow","pig","turkei","chicken","pig","emu","eleph","tiger","lion","bear","dog","","","","","","","","","","cat","rabbit","iguana","zebra","","","","","","","","","","","","","","","","","rhino","allig","puppi","guineapig","","","","","","","","","","","","","","","","","goos","giraff","monkei","","","","","","","","","","","","","","","","","","","","","",""
"926010","dog","cat","pig","hors","cow","chicken","rooster","bird","duck","goos","pelican","","","","","","","","","","donkei","lion","tiger","monkei","allig","hippo","","","","","","","","","","","","","","","wolf","coyot","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"912793","hippo","cow","hors","skunk","cat","dog","opossum","","","","","","","","","","","","","","deer","moos","antelop","bear","","","","","","","","","","","","","","","","","eleph","giraff","lion","zebra","","","","","","","","","","","","","","","","","cheetah","","","","","","","","","","","","","","","","","","","","","","","",""
"902791","dog","cat","hors","chicken","deer","bear","rabbit","raccoon","skunk","gorilla","","","","","","","","","","","snak","cow","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"905864","anteat","baboon","cat","dog","eleph","fireant","tiger","lion","zebra","","","","","","","","","","","","wallabi","kangaroo","cat","dog","rabbit","mous","rat","","","","","","","","","","","","","","guineapig","hors","","","","","","","","","","","","","","","","","","","cow","sheep","goat","ap","gorilla","","","","","","","","","","","","","","","","dingo","","","",""
"906421","deer","rabbit","pig","hors","dog","cat","fly","mule","antelop","elk","","","","","","","","","","","bear","groundhog","badger","pig","chicken","goos","duck","","","","","","","","","","","","","","rat","raccoon","fisher","marten","weasel","muskrat","mink","","","","","","","","","","","","","","gull","raven","crow","bluejai","robin","cardin","","","","","","","","","","","","","","","","","","",""
"917609","dog","cat","rat","cow","calf","hors","colt","sheep","goat","buffalo","deer","","","","","","","","","","ant","pig","piglet","goat","","","","","","","","","","","","","","","","","buffalo","chicken","chick","turkei","rooster","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"913056","dog","cat","cow","hors","mous","gopher","snak","rat","","","","","","","","","","","","","marmot","","chipmunk","allig","","","","","","","","","","","","","","","","","armadillo","","","","","","","","","","","","","","","","","","","","longhornedcow","steer","buffalo","tiger","lion","kangaroo","llama","","","","","","","","","","","","","","","","","",""
