Source,Target,Type,Weight
fruit,fish,Directed,7
fruit,chicken,Directed,4
fruit,ham,Directed,1
fruit,pork,Directed,2
fruit,porkchop,Directed,2
fruit,taco,Directed,1
fruit,steak,Directed,3
fruit,milk,Directed,24
fruit,butter,Directed,3
fruit,bread,Directed,35
fruit,strawberry,Directed,6
fruit,apple,Directed,116
fruit,pear,Directed,5
fruit,banana,Directed,41
fruit,avocado,Directed,2
fruit,cherry,Directed,3
fruit,cereal,Directed,18
fruit,coffee,Directed,3
fruit,grape,Directed,4
fruit,beef,Directed,6
fruit,peanut,Directed,3
fruit,popcorn,Directed,2
fruit,potato_chips,Directed,4
fruit,corn,Directed,5
fruit,potato,Directed,39
fruit,pea,Directed,6
fruit,squash,Directed,2
fruit,asparagus,Directed,1
fruit,orange_juice,Directed,1
fruit,oatmeal,Directed,1
fruit,orange,Directed,39
fruit,pudding,Directed,1
fruit,carrot,Directed,8
fruit,cabbage,Directed,2
fruit,lettuce,Directed,5
fruit,pizza,Directed,4
fruit,meat,Directed,91
fruit,icecream,Directed,8
fruit,raspberry,Directed,3
fruit,onion,Directed,2
fruit,vegetable,Directed,333
fruit,broccoli,Directed,1
fruit,cake,Directed,10
fruit,salt,Directed,3
fruit,egg,Directed,22
fruit,cheese,Directed,4
fruit,sausage,Directed,2
fruit,hamburger,Directed,5
fruit,shrimp,Directed,1
fruit,peanutbutter,Directed,1
fruit,soup,Directed,1
fruit,starch,Directed,2
fruit,sugar,Directed,3
fruit,gravy,Directed,1
fruit,pie,Directed,2
fruit,pancake,Directed,1
fruit,cookie,Directed,5
fruit,cucumber,Directed,1
fruit,candy,Directed,6
fruit,nut,Directed,13
fruit,salad,Directed,6
fruit,cracker,Directed,5
fruit,peach,Directed,6
fruit,fig,Directed,3
fruit,noodle,Directed,1
fruit,macaroni,Directed,3
fruit,spaghetti,Directed,2
fruit,tomato,Directed,3
fruit,dessert,Directed,21
fruit,herb,Directed,1
fruit,drink,Directed,1
fruit,pasta,Directed,6
fruit,Jello,Directed,2
fruit,hot_dish,Directed,1
fruit,poultry,Directed,3
fruit,pickle,Directed,1
fruit,wheat,Directed,2
fruit,plum,Directed,2
fruit,venison,Directed,1
fruit,artichoke,Directed,1
fruit,rice,Directed,1
fruit,rhubarb,Directed,1
fruit,watermelon,Directed,3
fruit,casserole,Directed,1
fruit,flour,Directed,4
fruit,lasagna,Directed,4
fruit,cottagecheese,Directed,2
fruit,yogurt,Directed,1
fruit,dairy,Directed,4
fruit,pineapple,Directed,4
fruit,greens,Directed,2
fruit,spinach,Directed,1
fruit,biscuit,Directed,1
fruit,juice,Directed,2
fruit,raisin,Directed,1
fruit,lemon,Directed,3
fruit,dogfood,Directed,1
fruit,date,Directed,1
fruit,kohlrabi,Directed,1
fruit,oil,Directed,1
fruit,cantaloupe,Directed,1
fruit,bologna,Directed,1
fruit,mashed_potatoes,Directed,2
fruit,roll,Directed,1
fruit,sandwich,Directed,3
fruit,snackfood,Directed,2
fruit,corn_on_the_cob,Directed,2
fruit,mayonnaise,Directed,1
fruit,chili,Directed,1
fruit,pastry,Directed,2
fruit,sweets,Directed,1
fruit,Italian_food,Directed,1
fruit,Chinese,Directed,1
fruit,berry,Directed,3
fruit,frozenfood,Directed,1
fruit,cupcake,Directed,1
fruit,meatloaf,Directed,2
fruit,kiwi,Directed,1
fruit,legume,Directed,3
fruit,grain,Directed,7
fruit,bake,Directed,1
fruit,condiment,Directed,1
fruit,caramel,Directed,1
fruit,salami,Directed,1
fruit,protein,Directed,4
fruit,beverage,Directed,1
fruit,food,Directed,2
fruit,carbohydrate,Directed,2
fruit,swordfish,Directed,1
fruit,fruitsalad,Directed,1
fish,fruit,Directed,20
fish,chicken,Directed,92
fish,turkey,Directed,16
fish,ham,Directed,7
fish,pork,Directed,23
fish,porkchop,Directed,5
fish,taco,Directed,4
fish,steak,Directed,26
fish,milk,Directed,13
fish,butter,Directed,4
fish,bread,Directed,36
fish,jam,Directed,3
fish,jelly,Directed,3
fish,strawberry,Directed,4
fish,apple,Directed,19
fish,pear,Directed,2
fish,banana,Directed,8
fish,avocado,Directed,1
fish,cherry,Directed,2
fish,cereal,Directed,18
fish,grape,Directed,5
fish,beef,Directed,48
fish,liver,Directed,4
fish,lamb,Directed,7
fish,peanut,Directed,4
fish,popcorn,Directed,1
fish,pretzel,Directed,1
fish,potato_chips,Directed,1
fish,corn,Directed,9
fish,potato,Directed,38
fish,pea,Directed,8
fish,mushroom,Directed,1
fish,squash,Directed,6
fish,asparagus,Directed,6
fish,beet,Directed,2
fish,orange_juice,Directed,2
fish,grape_juice,Directed,1
fish,oatmeal,Directed,5
fish,orange,Directed,8
fish,pudding,Directed,2
fish,radish,Directed,1
fish,carrot,Directed,16
fish,celery,Directed,4
fish,coleslaw,Directed,1
fish,blueberry,Directed,1
fish,cabbage,Directed,4
fish,lettuce,Directed,21
fish,pizza,Directed,9
fish,meat,Directed,50
fish,icecream,Directed,13
fish,raspberry,Directed,1
fish,chocolate,Directed,1
fish,onion,Directed,2
fish,vegetable,Directed,33
fish,hotdog,Directed,4
fish,bratwurst,Directed,1
fish,broccoli,Directed,13
fish,cake,Directed,14
fish,salt,Directed,1
