Id,Label,Eigenvector Centrality,Modularity Class,Eccentricity,Closeness Centrality,Betweenness Centrality,In-Degree,Out-Degree,Degree,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Authority,Hub,Clustering Coefficient,Weighted Clustering Coefficient,Strenght
aardvark,aardvark,0.36080732227333856,0,3.0,1.9047619047619047,63.89299819317255,39,43,82,166.0,59.0,107.0,0.0039556962,0.0039556962,0.6161202,0.3911944,166.0
allig,allig,0.7445332992790117,1,3.0,1.7210884353741496,1306.3076939680002,97,89,186,767.0,388.0,379.0,0.009691455,0.009691455,0.33422223,0.17388915,767.0
ant,ant,0.47424046562341704,23,3.0,1.8911564625850341,747.4715766727519,59,51,110,221.0,106.0,115.0,0.005933544,0.005933544,0.39641675,0.21262817,221.0
anteat,anteat,0.34672668700106507,0,3.0,1.8945578231292517,84.14830842943772,37,49,86,153.0,73.0,80.0,0.0037579115,0.0037579115,0.56001985,0.32552865,153.0
antelop,antelop,0.7801923154618035,2,3.0,1.7210884353741496,1037.548429283848,93,92,185,1098.0,557.0,541.0,0.009295886,0.009295886,0.3821393,0.19246703,1098.0
armadillo,armadillo,0.35878425713343415,0,3.0,1.9251700680272108,161.7561491942893,40,43,83,124.0,62.0,62.0,0.0040545887,0.0040545887,0.47747055,0.27625886,124.0
baboon,baboon,0.28659515578213685,22,3.0,2.006802721088435,382.59309466454243,34,32,66,161.0,84.0,77.0,0.0034612343,0.0034612343,0.5435414,0.31839463,161.0
badger,badger,0.6155915400850606,17,3.0,1.8605442176870748,232.86547767243079,67,60,127,415.0,216.0,199.0,0.0067246836,0.0067246836,0.5702694,0.21108243,415.0
bat,bat,0.3431853389030997,17,3.0,1.9421768707482994,202.7099097198399,39,36,75,120.0,63.0,57.0,0.0039556962,0.0039556962,0.5021858,0.3372748,120.0
bear,bear,0.9583340653483227,0,3.0,1.5442176870748299,3671.6251250185505,135,137,272,2478.0,1243.0,1235.0,0.013449367,0.013449367,0.25297597,0.14923728,2478.0
beaver,beaver,0.5708031135348373,24,3.0,1.7619047619047619,313.1184533108016,65,75,140,483.0,246.0,237.0,0.0065268986,0.0065268986,0.45897767,0.20406036,483.0
buffalo,buffalo,0.703462013906321,5,3.0,1.7210884353741496,1089.564027911081,84,91,175,719.0,377.0,342.0,0.008405854,0.008405854,0.36491755,0.1800713,719.0
camel,camel,0.6256148931302757,12,3.0,1.7925170068027212,400.8793127292218,69,73,142,509.0,266.0,243.0,0.0069224685,0.0069224685,0.43767676,0.22840641,509.0
canari,canari,0.18769601583273446,11,3.0,2.0510204081632653,122.07234430942442,26,23,49,63.0,34.0,29.0,0.0026700948,0.0026700948,0.3647436,0.24470899,63.0
cat,cat,0.8641687184601439,3,3.0,1.5850340136054422,1593.855946819099,105,126,231,4494.0,2023.0,2471.0,0.010482595,0.010482595,0.3046085,0.2137386,4494.0
cheetah,cheetah,0.4868375192193515,15,3.0,1.8435374149659864,170.1123157050193,51,64,115,380.0,195.0,185.0,0.005142405,0.005142405,0.5125,0.23578024,380.0
chicken,chicken,0.748223591855302,14,3.0,1.6734693877551021,1177.0290383048355,92,99,191,1810.0,917.0,893.0,0.009196994,0.009196994,0.35461432,0.17346032,1810.0
chipmunk,chipmunk,0.6656369426439125,20,3.0,1.7789115646258504,919.2140033678128,76,76,152,675.0,350.0,325.0,0.007614715,0.007614715,0.41109842,0.20641649,675.0
cow,cow,0.8929740200594417,7,3.0,1.6938775510204083,1969.3258806147887,123,97,220,3523.0,1639.0,1884.0,0.012262658,0.012262658,0.3037159,0.20518847,3523.0
coyot,coyot,0.649686671625857,21,3.0,1.7585034013605443,775.9780592934916,74,84,158,717.0,370.0,347.0,0.0074169305,0.0074169305,0.39133683,0.18723628,717.0
crocodil,crocodil,0.39886547647075365,1,3.0,1.8095238095238095,321.3201681806702,47,67,114,378.0,200.0,178.0,0.004746835,0.004746835,0.40029404,0.21821886,378.0
deer,deer,0.9350391937237504,2,3.0,1.653061224489796,2556.0733009490987,136,108,244,2705.0,1336.0,1369.0,0.01354826,0.01354826,0.2638411,0.17449395,2705.0
dog,dog,0.9098516174141881,3,3.0,1.6666666666666667,2009.3296855515562,129,100,229,4113.0,1631.0,2482.0,0.012856012,0.012856012,0.28953642,0.24583264,4113.0
eleph,eleph,0.9956789443804872,13,3.0,1.58843537414966,2725.2863268604783,143,126,269,3618.0,1797.0,1821.0,0.014240506,0.014240506,0.26055118,0.1730769,3618.0
elk,elk,0.7396190041083052,2,3.0,1.7312925170068028,821.6263298511918,90,84,174,1269.0,652.0,617.0,0.008999209,0.008999209,0.39687902,0.19168751,1269.0
fish,fish,0.8675864092440951,4,3.0,1.6326530612244898,4090.4899513210926,130,111,241,994.0,510.0,484.0,0.012954905,0.012954905,0.24061345,0.15079853,994.0
fox,fox,0.7819342786702457,21,3.0,1.7551020408163265,1000.7708007705019,97,81,178,1023.0,511.0,512.0,0.009691455,0.009691455,0.3692494,0.20267189,1023.0
