from,to,type,weight
aardvark,allig,Directed,1
aardvark,ant,Directed,7
aardvark,anteat,Directed,7
aardvark,antelop,Directed,2
aardvark,armadillo,Directed,2
aardvark,baboon,Directed,2
aardvark,badger,Directed,2
aardvark,bat,Directed,2
aardvark,bear,Directed,26
aardvark,beaver,Directed,7
aardvark,buffalo,Directed,2
aardvark,camel,Directed,1
aardvark,canari,Directed,1
aardvark,cat,Directed,6
aardvark,cheetah,Directed,1
aardvark,chicken,Directed,1
aardvark,chipmunk,Directed,1
aardvark,cow,Directed,1
aardvark,coyot,Directed,1
aardvark,crocodil,Directed,1
aardvark,deer,Directed,1
aardvark,dog,Directed,3
aardvark,eleph,Directed,3
aardvark,elk,Directed,1
aardvark,fish,Directed,1
aardvark,fox,Directed,1
aardvark,frog,Directed,1
aardvark,goat,Directed,1
aardvark,hors,Directed,2
aardvark,kangaroo,Directed,1
aardvark,lion,Directed,4
aardvark,llama,Directed,2
aardvark,monkei,Directed,1
aardvark,octopus,Directed,1
aardvark,ostrich,Directed,1
aardvark,rabbit,Directed,1
aardvark,raccoon,Directed,1
aardvark,sheep,Directed,1
aardvark,snak,Directed,2
aardvark,tiger,Directed,1
aardvark,turkei,Directed,1
aardvark,whale,Directed,1
aardvark,zebra,Directed,1
allig,aardvark,Directed,2
allig,ant,Directed,2
allig,antelop,Directed,6
allig,armadillo,Directed,1
allig,baboon,Directed,2
allig,bat,Directed,1
allig,bear,Directed,8
allig,beaver,Directed,2
allig,bird,Directed,5
allig,boa,Directed,1
allig,buffalo,Directed,1
allig,bull,Directed,1
allig,camel,Directed,2
allig,cat,Directed,3
allig,chameleon,Directed,1
allig,cheetah,Directed,3
allig,chicken,Directed,3
allig,chimp,Directed,1
allig,cougar,Directed,3
allig,cow,Directed,3
allig,coyot,Directed,2
allig,cricket,Directed,1
allig,crocodil,Directed,105
allig,deer,Directed,4
allig,dinosaur,Directed,1
allig,dog,Directed,6
allig,dolphin,Directed,2
allig,donkei,Directed,2
allig,duck,Directed,5
allig,eel,Directed,1
allig,egret,Directed,1
allig,eleph,Directed,12
allig,ferret,Directed,1
allig,fish,Directed,21
allig,fox,Directed,3
allig,frog,Directed,2
allig,gerbil,Directed,1
allig,giraff,Directed,8
allig,goos,Directed,3
allig,gopher,Directed,1
allig,gorilla,Directed,1
allig,hippo,Directed,7
allig,hors,Directed,4
allig,hyena,Directed,1
allig,iguana,Directed,1
allig,insect,Directed,1
allig,koala,Directed,1
allig,ladybug,Directed,1
allig,leopard,Directed,2
allig,lion,Directed,6
allig,lizard,Directed,6
allig,lynx,Directed,2
allig,mammal,Directed,1
allig,mink,Directed,1
allig,monkei,Directed,14
allig,moos,Directed,2
allig,mosquito,Directed,1
allig,mous,Directed,4
allig,octopus,Directed,1
allig,opossum,Directed,4
allig,ostrich,Directed,1
allig,otter,Directed,1
allig,ox,Directed,2
allig,panda,Directed,1
allig,parrot,Directed,1
allig,pig,Directed,1
allig,polarbear,Directed,1
allig,puppi,Directed,1
allig,rabbit,Directed,4
allig,raccoon,Directed,1
allig,rat,Directed,2
allig,reptil,Directed,1
allig,rhino,Directed,6
allig,rodent,Directed,1
allig,shark,Directed,2
allig,sheep,Directed,3
allig,snak,Directed,25
allig,spider,Directed,2
allig,squirrel,Directed,6
allig,tiger,Directed,4
allig,toad,Directed,1
allig,turkei,Directed,1
allig,turtl,Directed,2
allig,whale,Directed,4
allig,wildcat,Directed,1
allig,wildebeest,Directed,2
allig,wolf,Directed,1
allig,wolverin,Directed,1
allig,zebra,Directed,6
alpaca,beaver,Directed,1
alpaca,camel,Directed,3
alpaca,cow,Directed,1
alpaca,donkei,Directed,1
alpaca,eagl,Directed,1
alpaca,elk,Directed,1
alpaca,giraff,Directed,1
alpaca,goat,Directed,3
alpaca,holstein,Directed,1
alpaca,llama,Directed,4
alpaca,mous,Directed,1
alpaca,opossum,Directed,1
alpaca,ox,Directed,1
alpaca,pig,Directed,1
alpaca,sheep,Directed,2
alpaca,snak,Directed,1
amphibian,allig,Directed,1
amphibian,frog,Directed,1
amphibian,human,Directed,1
amphibian,mongoos,Directed,1
amphibian,reptil,Directed,1
amphibian,snak,Directed,1
amphibian,toad,Directed,1
amphibian,woodpeck,Directed,1
amphibian,zebra,Directed,1
anemon,ant,Directed,1
anemon,insect,Directed,1
anemon,whale,Directed,2
anim,bird,Directed,1
anim,bison,Directed,1
anim,dog,Directed,2
anim,donkei,Directed,1
anim,duck,Directed,1
anim,human,Directed,1
anim,lemur,Directed,1
anim,moos,Directed,1
anim,rat,Directed,1
anim,snak,Directed,1
anim,tadpol,Directed,1
anim,tiger,Directed,1
anim,whale,Directed,2
anim,zebra,Directed,2
ant,aardvark,Directed,6
ant,allig,Directed,1
ant,anteat,Directed,2
ant,antelop,Directed,2
ant,ap,Directed,1
ant,armadillo,Directed,1
ant,badger,Directed,1
ant,bat,Directed,1
ant,bear,Directed,7
ant,bee,Directed,5
ant,beetl,Directed,2
ant,bird,Directed,5
ant,bobcat,Directed,1
ant,bug,Directed,4
ant,calf,Directed,1
ant,cat,Directed,1
ant,centiped,Directed,1
ant,cockroach,Directed,2
ant,coyot,Directed,1
ant,cricket,Directed,1
ant,crocodil,Directed,1
ant,deer,Directed,1
ant,dog,Directed,6
ant,donkei,Directed,3
ant,eagl,Directed,1
ant,eleph,Directed,1
ant,fly,Directed,14
ant,gerbil,Directed,1
ant,gopher,Directed,1
ant,gorilla,Directed,1
ant,grasshopp,Directed,2
