Target,Replace
aadvark,aardvark
aarkvark,aardvark
aarvark,aardvark
abdominalsnowman,abominablesnowman
abird,bird
ablackbird,blackbird
acalf,calf
acat,cat
achickadd,chickade
achicken,chicken
acow,cow
actuallyahumisananim,human
adog,dog
adonkei,donkei
Africanim,africanim
agiraff,giraff
agnat,gnat
ahors,hors
akangaroo,kangaroo
alarksparrow,larksparrow
alig,allig
alion,lion
alizard,lizard
allama,llama
alldifferentkindsofbird,bird
allformsofreptil,reptil
alliag,allig
alligatorthatsareptil,allig
allkindsofchicken,chicken
allkindsoffish,fish
allkindsofinvertebr,vertebr
alllig,allig
allsortsofbear,bear
allthebearfamili,bear
allthecrustacean,crustacean
alotofbird,bird
alotoftypesofbird,bird
ameba,amoeba
amous,mous
amousethatsanim,mous
amuleitdbeaboutthesam,mule
angusbeef,angus
Anguscow,angus
antelpop,antelop
antilop,antelop
anybird,bird
anywildanim,wildanim
aparrot,parrot
apefamili,ap
arabbit,rabbit
araccoon,raccoon
aramadillo,armadillo
arat,rat
ardvaark,aardvark
arhinocero,rhino
aseal,seal
atig,tig
atigerwouldbethesam,tig
aturkei,turkei
ausprei,osprey
azebra,zebra
babycalf,calf
babycalv,calf
backbird,blackbird
bear4,bear
beatl,beetl
beautifulostrich,ostrich
Bengal,bengaltig
beracuda,barracuda
bever,beav
bighornsheep,bighornedsheep
birdfamili,bird
birdsallkindsofbird,bird
birdsingener,bird
birdsofmanyvarieti,bird
bisson,bison
blueher,blueheron
boaconstrict,boa
boaconstrictor,boa
bufallo,buffalo
bullthatsacowcattl,bull
bunnyrabbit,bunni
burro,burrow
camen,cayman
Canadigees,Canadagoos
Canadilynx,canadilynx
carib,caribou
caribeau,caribou
carrib,caribou
catapillar,caterpillar
catterpilar,caterpillar
cattleorcow,cattl
chamaeleon,chameleon
chetah,cheetah
chettah,cheetah
chickede,chickade
chickenitwouldbeafowl,chicken
children,child
chimpanz,chimp
chimpanze,chimp
chimpanzi,chimp
chipanze,chimp
chipmanze,chimp
chipmonk,chipmunk
cinnnamonbear,cinnamonbear
claf,calf
cockadoo,cockatoo
cockat,cockatiel
cockateel,cockatiel
coonraccoon,raccoon
coyt,coyot
crocidil,crocodil
cvow,cow
Dachshund,dachshund
daschund,dachshund
didIsayaparrot,parrot
didIsaylion,lion
didIsaymonkei,monkei
didIsaypig,pig
differentkindsofbird,bird
differentkindsoffish,fish
differentspeciesofmonkei,monkei
differenttypesofbird,bird
differenttypesofcat,cat
differenttypesofdog,dog
do,
domesticanim,domesticatedanim
domesticcat,cat
domesticturkei,turkei
donki,donkei
duckbilledplatypu,platypus
eaglesandallthat,eagl
eaglet,egret
eaglethatsabird,eagl
elep,eleph
elepgh,eleph
elephan,eleph
elephant,eleph
elkq,elk
emew,emu
empala,impala
eventhehumisananim,human
ferrit,ferret
fieldmic,fieldmous
flee,flea
gator,allig
geesearebird,goos
Germshepherd,germshepard
ginatpanda,giantpanda
girraff,giraff
goril,gorilla
gorrila,gorilla
gorrilla,gorilla
greatap,ap
grisli,grizzlybear
grizzli,grizzlybear
grizzlebear,grizzlybear
grizzleybear,grizzlybear
grosbeak,grossbeak
groundsquirrel,
grounhog,groundhog
Guernsei,guernsei
Guernseycow,guernsei
guienapig,guineapig
guinea,guineapig
guineafoul,guineafowl
guinneapig,guineapig
gunieapig,guineapig
gunniepig,guineapig
Gurnsei,guernsei
Herfordcow,hereford
heronthatsabird,heron
heyna,hyena
hippopatamu,hippo
hippopatumu,hippo
hippopotam,hippo
hippopotami,hippo
hippopotamus,hippo
hippopotomu,hippo
hippoptamu,hippo
hippoptoatu,hippo
hippotamu,hippo
Holsteincow,holstein
Homosapien,homosapien
hosrs,hors
humanb,human
Ididsayllamasbefor,llama
IdontknowifIsaidbear,bear
impalla,impala
inscet,insect
Isaidhors,hors
Isaidlamb,lamb
Isaidzebra,zebra
IthinkIsaidmonkeyalreadi,monkey
IthinkIsaidsnak,snak
Jerseycow,jersei
kariboo,caribou
kindsoffish,fish
kitti,kitten
kittycat,kitten
koalabear,koala
kodakbear,kodiakbear
kodiacbear,kodiakbear
kodiacbrownbear,kodiakbear
Komododragon,komododragon
kuala,koala
kualabear,koala
laborador,labrador
laughinghyena,hyena
leach,leech
lem,lemur
lemurmonkei,lemur
leopardsallofthos,leopard
leopord,leopard
lice,lous
lioninthecatfamili,lion
lionsthewholecatfamili,lion
malard,mallard
mallardduck,mallard
man,human
mangoos,mongoos
manite,manate
manykindsofsnak,snak
martin,marten
merecat,meerkat
monkeysofallkind,monkei
monki,monkei
moocow,cow
mouseisarod,mous
moutaingoat,mountaingoat
moutainlion,mountainlion
muircat,meerkat
muscrat,muskrat
musk,muski
muske,muski
muskellung,muskelung
muskoxen,muskox
mynxcat,minx
newholstein,holstein
octapu,octopus
octopu,octopus
opossom,opossum
opposum,opossum
orangotoang,orangutan
